Postcode,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Double Orphan Pension,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Commonwealth Seniors Health Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
4488,0,<5,23,0,<5,0,<5,0,<5,22,14,18,<5,<5,0,<5,0,31,6,0,0,<5,0,0,0,<5,<5
4489,0,<5,10,0,<5,0,<5,0,7,9,<5,12,0,<5,<5,<5,0,22,0,0,0,0,0,0,0,0,0
4490,7,24,173,0,48,0,28,0,109,136,117,156,16,100,5,53,<5,398,15,<5,0,0,0,0,<5,25,<5
4491,0,0,9,0,<5,0,<5,0,<5,6,<5,<5,0,<5,<5,<5,0,19,<5,0,0,0,0,0,0,0,0
4492,0,0,16,0,0,0,0,0,<5,16,12,7,0,<5,<5,<5,0,23,<5,<5,0,0,0,0,0,0,0
4493,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
4494,0,0,8,0,<5,<5,<5,0,<5,21,16,8,<5,<5,<5,<5,0,18,0,0,0,0,0,0,0,0,0
4496,0,0,16,0,<5,0,0,0,10,30,18,20,0,5,<5,<5,0,28,6,0,0,0,0,0,0,<5,0
4497,<5,0,17,<5,<5,0,<5,0,9,24,15,20,<5,<5,<5,<5,0,31,5,0,0,0,0,<5,0,0,0
4498,0,<5,<5,<5,<5,0,0,0,<5,23,14,18,<5,6,<5,<5,0,11,<5,0,0,0,0,0,0,<5,0
4500,17,33,"3,352",61,"1,104",37,392,<5,"1,082","3,196","2,493","2,481",532,"1,170",151,482,6,"5,981",221,13,5,30,0,8,5,230,239
4501,<5,10,666,10,195,6,77,0,265,547,462,447,70,259,32,126,<5,"1,294",39,0,<5,<5,0,<5,<5,64,35
4502,<5,5,679,11,230,<5,73,<5,249,680,517,534,96,275,35,112,<5,"1,275",48,<5,0,<5,0,<5,<5,41,41
4503,15,28,"3,649",85,"1,180",38,458,<5,"1,225","4,107","3,371","2,899",564,"1,342",223,891,8,"6,993",267,22,8,32,0,6,11,298,223
4504,<5,7,970,17,500,24,181,<5,319,"1,557","1,192","1,035",236,370,63,257,0,"1,948",72,<5,0,8,<5,<5,<5,85,86
4505,7,7,"2,655",30,636,15,222,<5,616,"1,460","1,086","1,091",281,563,83,297,<5,"4,111",127,7,<5,16,0,<5,<5,85,97
4506,5,16,"1,915",34,829,17,363,<5,968,"2,395","1,959","1,920",325,"1,034",178,577,<5,"4,422",89,10,<5,17,0,<5,13,238,119
4507,<5,14,"5,418",22,995,5,407,<5,"1,071",981,796,"1,044",279,725,60,198,8,"7,546",433,7,0,28,0,9,9,93,52
4508,9,41,"2,463",33,909,25,421,<5,"1,300","2,217","1,826","1,859",264,"1,182",151,515,<5,"5,369",85,8,0,13,0,5,10,232,89
4509,<5,19,"1,731",43,599,26,177,0,374,"2,631","2,090","1,519",250,505,118,448,<5,"3,000",165,9,0,13,0,<5,<5,118,107
4510,21,66,"6,219",109,"2,070",48,993,6,"2,733","5,092","4,247","4,540",780,"2,867",408,"1,255",19,"12,823",285,40,<5,48,0,20,27,579,273
4511,<5,10,"1,812",10,441,9,193,<5,393,685,520,575,135,358,50,143,<5,"2,766",94,<5,<5,5,0,<5,6,51,18
4512,0,0,320,<5,88,<5,23,0,108,184,122,169,26,80,11,26,0,510,47,<5,0,<5,0,<5,0,14,7
4514,0,<5,741,9,235,<5,113,0,270,471,362,405,75,253,19,76,<5,"1,339",82,<5,0,5,0,<5,<5,33,23
4515,<5,<5,522,10,160,<5,63,0,154,304,233,249,47,152,27,57,<5,892,46,<5,0,<5,0,<5,<5,20,12
4516,<5,<5,359,9,130,<5,51,0,95,276,179,221,51,103,10,36,0,595,41,<5,0,<5,0,<5,0,20,17
4517,0,0,145,<5,37,0,16,0,29,46,34,37,7,25,<5,10,0,214,5,<5,0,0,0,0,0,5,<5
4518,<5,0,672,<5,151,<5,67,<5,153,366,262,321,77,182,18,49,<5,"1,033",64,<5,<5,<5,0,<5,<5,36,20
4519,<5,10,"1,100",11,281,9,124,0,333,739,580,603,120,349,45,137,<5,"1,905",89,<5,0,9,0,<5,6,52,45
4520,<5,<5,874,16,210,6,48,0,136,426,279,405,113,154,21,42,<5,"1,185",269,<5,0,11,0,<5,<5,10,43
4521,0,0,388,5,93,<5,42,0,92,226,164,165,42,62,12,26,0,582,99,<5,0,<5,0,<5,<5,11,6
4550,0,<5,522,10,132,<5,53,0,184,350,270,302,53,206,25,62,0,941,29,<5,0,6,0,<5,<5,27,21
4551,8,26,"9,816",124,"1,874",37,696,<5,"1,886","4,121","3,149","3,476",786,"1,921",228,695,8,"14,165","1,032",24,<5,54,0,9,13,308,292
4552,<5,0,"1,602",25,225,<5,87,0,355,570,441,571,113,416,39,79,<5,"2,352",330,<5,<5,19,0,<5,<5,34,23
4553,0,0,567,19,147,<5,61,0,161,412,292,323,80,192,16,57,0,953,61,<5,0,5,0,<5,<5,23,33
4554,0,0,165,<5,48,<5,21,<5,64,126,93,126,23,88,8,15,0,309,22,<5,0,<5,0,0,<5,7,7
4555,0,6,926,16,185,6,65,0,180,505,365,387,83,222,24,52,<5,"1,343",105,0,0,5,0,0,<5,23,29
4556,26,5,"6,225",128,"1,033",27,309,<5,891,"2,615","1,982","2,551",914,"1,031",141,377,6,"8,349",722,14,<5,40,0,<5,<5,197,592
4557,6,6,"1,599",63,385,11,145,0,548,"1,427","1,128","1,219",319,632,61,218,<5,"2,835",252,10,<5,15,0,<5,<5,88,160
4558,11,7,"3,143",75,531,<5,222,0,950,"1,228","1,003","1,319",361,878,68,240,<5,"5,027",308,11,0,21,0,<5,<5,131,172
4559,<5,<5,781,13,199,<5,90,0,221,424,309,409,99,215,22,44,0,"1,254",58,6,<5,9,0,0,5,38,37
4560,13,16,"4,985",83,"1,004",27,395,<5,"1,601","2,606","1,995","2,252",508,"1,370",138,451,5,"8,240",460,13,<5,38,0,8,9,235,169
4561,<5,5,750,23,203,<5,88,0,275,549,398,458,107,274,47,84,<5,"1,335",111,5,0,<5,0,<5,<5,34,29
4562,<5,<5,807,22,172,<5,87,0,225,522,368,493,94,306,33,56,<5,"1,320",152,5,0,7,0,<5,<5,25,29
4563,<5,<5,"1,276",13,278,8,120,0,348,598,440,516,117,308,42,93,<5,"2,008",162,5,0,13,0,<5,<5,39,42
4564,6,<5,"1,342",34,252,5,109,<5,312,770,605,648,146,367,33,140,<5,"2,122",239,10,<5,11,0,<5,<5,50,59
4565,<5,6,"2,813",24,485,8,215,0,629,"1,063",795,922,199,612,56,164,<5,"4,216",249,8,<5,21,0,<5,7,69,58
4566,0,0,"1,531",10,201,<5,66,0,192,454,355,372,92,214,27,61,0,"1,981",349,6,<5,12,0,<5,<5,26,36
4567,0,<5,"1,209",30,186,<5,86,0,248,678,487,551,120,337,23,83,<5,"1,821",318,5,0,11,0,<5,<5,40,46
4568,0,<5,501,7,123,<5,60,0,149,267,199,251,66,183,14,29,0,851,35,<5,0,5,0,0,0,18,15
4569,0,0,175,6,67,0,37,0,79,167,124,133,25,93,10,24,0,360,17,<5,0,<5,0,<5,0,12,<5
4570,14,45,"6,541",76,"2,070",39,"1,148",<5,"3,271","3,921","3,089","3,677",637,"2,370",337,769,17,"12,998",517,24,7,47,0,20,39,434,171
4571,0,0,98,<5,29,0,12,0,56,63,48,60,8,44,<5,13,0,192,12,<5,<5,0,0,0,0,5,<5
4572,<5,<5,385,19,59,0,26,0,98,186,158,213,69,127,9,35,<5,601,91,<5,0,<5,0,0,0,19,35
4573,7,8,"2,799",85,532,14,206,0,616,"2,047","1,558","1,621",381,833,131,254,<5,"4,377",414,7,<5,19,0,<5,0,114,122
4574,0,<5,169,<5,50,<5,23,0,96,110,81,94,15,62,9,15,0,339,30,<5,0,<5,0,0,<5,6,<5
4575,5,7,"3,237",48,643,15,239,<5,637,"1,481","1,165","1,304",329,698,65,249,5,"4,712",484,7,<5,16,0,<5,<5,110,140
4580,<5,6,"1,483",<5,392,<5,224,0,564,332,284,374,89,297,30,74,<5,"2,518",68,<5,0,11,0,<5,5,27,12
4581,0,<5,230,<5,38,0,21,0,74,95,72,96,13,73,7,15,0,384,38,<5,0,<5,0,<5,0,11,<5
4600,0,0,158,0,53,0,26,0,95,71,53,68,12,56,5,15,<5,329,9,0,0,<5,0,<5,<5,9,<5
4601,<5,<5,187,<5,53,0,27,0,74,89,63,101,17,51,7,16,0,332,14,0,0,<5,0,0,0,7,<5
