Postcode,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Double Orphan Pension,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Commonwealth Seniors Health Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
200,0,0,0,0,0,0,0,0,0,0,0,9,8,<5,0,0,0,0,0,0,0,0,0,0,0,0,7
800,<5,7,165,<5,27,<5,14,0,266,149,125,292,16,273,15,20,<5,497,21,0,<5,<5,0,0,0,8,12
801,0,0,11,0,0,0,0,0,18,<5,<5,6,<5,<5,0,0,0,25,<5,0,0,0,0,0,0,<5,<5
803,0,0,7,0,0,0,0,0,0,<5,<5,0,0,0,0,<5,0,7,<5,0,0,0,0,0,0,0,0
804,0,0,<5,0,0,0,0,0,<5,<5,<5,5,0,6,<5,0,0,8,0,0,0,0,0,0,0,0,0
810,31,69,"1,941",39,433,9,159,<5,790,"1,748","1,456","1,496",184,950,83,330,5,"3,476",203,8,<5,10,0,6,<5,132,74
811,0,0,5,0,<5,0,0,0,<5,<5,<5,6,0,5,<5,0,0,7,<5,0,<5,0,0,0,0,0,0
812,24,77,"1,060",18,364,12,122,<5,476,"1,225","1,024","1,018",108,578,64,295,<5,"2,136",83,<5,6,10,0,<5,<5,85,51
813,0,<5,0,0,<5,0,0,0,<5,5,5,<5,0,<5,0,<5,0,<5,0,0,0,0,0,0,0,0,0
814,0,0,<5,0,0,0,0,0,<5,<5,<5,6,<5,<5,<5,0,0,<5,0,0,0,0,0,0,0,0,0
815,0,0,0,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,<5
820,<5,16,742,16,162,<5,54,0,390,561,466,597,61,405,33,86,<5,"1,335",124,7,<5,<5,0,<5,0,48,28
821,0,0,<5,<5,<5,0,<5,0,<5,<5,<5,<5,<5,0,0,0,0,6,0,0,0,0,0,0,0,0,0
822,69,659,686,7,375,10,276,<5,"1,508","3,416","2,901","5,397",46,"3,715",941,581,<5,"3,665",28,<5,0,16,0,<5,0,532,<5
828,<5,<5,63,0,23,0,13,0,104,83,71,163,7,144,7,18,0,230,9,<5,0,<5,0,0,0,14,<5
829,0,<5,13,<5,5,0,<5,0,6,11,10,15,0,11,0,<5,0,24,<5,0,0,0,0,0,0,0,0
830,21,103,735,12,334,22,150,0,627,"1,508","1,345","1,245",79,773,94,447,<5,"2,193",35,<5,<5,7,0,0,<5,127,22
831,0,0,<5,0,0,0,0,0,<5,<5,<5,11,<5,11,0,0,0,8,<5,0,0,0,0,0,0,0,<5
832,12,19,337,10,193,11,40,0,120,867,745,504,57,224,27,175,0,754,25,<5,0,<5,0,<5,<5,42,21
834,0,0,80,<5,23,0,8,0,27,63,52,56,7,24,<5,12,0,133,11,0,0,0,0,0,0,<5,<5
835,<5,<5,202,0,65,0,20,0,61,112,87,114,15,56,<5,20,0,317,41,<5,0,0,0,<5,0,5,6
836,5,10,331,5,114,9,36,0,153,345,280,284,15,177,13,60,0,635,32,<5,0,6,0,0,<5,12,11
837,<5,<5,47,0,11,<5,<5,0,26,29,24,37,<5,29,0,<5,0,92,<5,<5,0,<5,0,0,0,<5,0
838,0,<5,49,0,19,0,10,0,36,51,41,43,5,37,<5,12,0,120,<5,0,0,0,0,0,0,<5,<5
839,0,<5,19,<5,7,0,<5,0,11,38,33,27,<5,18,<5,11,0,46,<5,0,0,0,0,0,0,<5,<5
840,0,0,94,0,24,0,17,0,35,14,12,29,6,38,<5,<5,0,167,0,0,0,<5,0,0,<5,0,0
841,0,<5,64,<5,11,0,<5,0,30,48,40,46,6,33,<5,14,0,120,<5,<5,0,0,0,0,0,<5,<5
845,5,17,60,<5,12,<5,8,0,46,65,57,86,7,67,<5,27,0,157,8,0,0,<5,0,0,0,14,0
846,<5,<5,54,0,11,0,6,0,23,29,28,37,<5,19,<5,13,0,102,<5,<5,0,0,0,0,0,8,0
847,0,11,25,0,<5,0,<5,0,22,34,30,60,<5,44,9,6,0,64,<5,0,0,0,0,0,0,9,0
850,10,56,416,0,130,5,67,0,498,683,602,773,33,496,79,167,<5,"1,242",21,<5,<5,<5,0,<5,0,85,9
851,<5,<5,11,0,<5,0,<5,0,12,18,10,12,<5,<5,<5,0,0,25,5,0,0,0,0,0,0,0,<5
852,15,323,223,0,103,5,72,0,461,"1,125",975,"1,842",11,"1,173",335,218,0,"1,162",<5,<5,0,<5,0,<5,0,196,<5
853,0,0,<5,0,8,0,<5,0,<5,51,46,10,<5,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0
854,5,33,72,0,19,0,7,0,56,168,144,291,<5,206,41,33,0,205,<5,0,0,<5,0,0,0,35,0
860,12,32,142,0,60,<5,36,<5,237,332,304,494,<5,347,74,88,0,567,<5,<5,0,<5,0,<5,0,39,<5
861,0,0,<5,0,<5,0,<5,0,<5,11,8,12,0,9,<5,<5,0,10,<5,0,0,0,0,0,0,0,0
862,<5,43,33,0,15,<5,13,0,50,154,130,242,<5,174,42,42,0,161,0,0,0,<5,0,<5,0,21,0
870,46,107,"1,008",11,297,7,153,0,"1,056","1,648","1,434","1,637",105,"1,068",130,428,0,"2,865",86,9,<5,6,0,<5,<5,143,38
871,0,<5,33,<5,11,<5,7,0,16,36,30,24,<5,17,0,7,0,69,<5,0,0,0,0,0,0,<5,<5
872,65,387,541,<5,240,5,189,<5,"1,097","2,355","2,100","4,354",35,"3,119",685,482,0,"2,810",<5,<5,0,13,0,0,<5,481,<5
873,<5,6,14,0,8,0,8,0,32,65,55,126,<5,104,15,12,0,82,<5,<5,0,0,0,0,0,16,<5
874,0,0,<5,0,0,0,0,0,0,6,5,<5,0,<5,<5,<5,0,<5,<5,0,0,0,0,0,0,0,0
875,<5,8,12,0,12,0,<5,<5,32,92,80,79,<5,40,12,31,0,85,5,0,<5,0,0,0,0,8,<5
880,24,74,107,<5,79,<5,56,0,242,614,517,898,10,664,132,100,0,613,0,<5,0,<5,0,0,0,62,<5
881,<5,0,6,<5,0,<5,0,0,<5,13,13,12,<5,6,0,<5,0,13,0,0,0,0,0,0,0,0,0
885,0,<5,0,0,<5,0,<5,0,<5,13,12,13,0,7,<5,<5,0,8,0,0,0,0,0,0,0,<5,0
886,<5,23,15,0,17,<5,8,0,33,94,77,133,<5,82,18,12,0,74,0,0,0,0,0,0,0,15,0
909,0,0,0,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,<5
1022,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1025,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,0,0,0,0,0,0,0,0,<5,<5,<5,<5,<5,<5,0,0,0,<5,<5,0,0,0,0,0,0,0,<5
1027,0,0,0,<5,0,0,0,0,0,<5,<5,<5,<5,0,0,0,0,0,<5,0,0,0,0,0,0,0,<5
1028,0,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0
1029,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1045,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,<5,<5
1120,0,0,<5,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5
1121,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
1124,0,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0
1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
1135,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
1155,0,0,0,0,0,0,0,0,0,<5,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,0,0,0,0,<5,0,<5,0,0,<5,<5,<5,0,<5,0,<5,0,<5,0,0,0,0,0,0,0,0,0
1170,0,0,0,0,0,0,0,0,0,<5,<5,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
1173,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,0,0,0,0,<5,0,<5,0,0,<5,<5,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1177,0,0,0,0,0,0,0,0,0,<5,<5,<5,<5,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0
1190,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0
1205,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,<5,0,0,0,0,0,0,0,<5
1231,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,0,0,<5,0,0,0,0,0,<5,0,0,<5,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0
1340,0,0,5,0,0,0,0,0,12,<5,<5,5,<5,5,0,<5,0,19,0,0,0,0,0,0,0,<5,0
1355,0,0,0,0,0,0,0,0,<5,0,0,<5,<5,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1360,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1435,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1445,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,0,0,<5,0,0,0,0,0,0,<5,<5,<5,<5,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1465,0,0,<5,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,0,<5,<5,0,0,0,0,0,0,<5,<5
1466,<5,0,0,0,0,0,0,0,0,<5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1470,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0
1475,0,0,0,0,0,0,0,0,<5,0,0,<5,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,<5,0,<5,0,<5,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1485,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1490,0,0,<5,0,<5,0,<5,0,0,<5,<5,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0
1495,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1499,0,0,<5,0,0,0,0,0,<5,<5,<5,<5,<5,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5
1565,0,0,<5,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1585,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,0,0,<5,0,0,0,0,0,0,<5,<5,<5,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0
1630,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0
1640,0,0,0,0,<5,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1655,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0
1670,0,0,0,0,0,0,0,0,<5,0,0,<5,<5,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5
1680,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0
1685,0,0,0,0,0,0,0,0,<5,0,0,<5,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1701,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710,0,0,0,0,0,0,0,0,<5,0,0,0,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1715,0,0,<5,0,<5,0,0,0,0,0,0,<5,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1730,0,0,<5,0,0,0,0,0,<5,0,0,<5,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1750,0,0,0,0,0,0,0,0,<5,<5,<5,<5,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0
1755,0,0,<5,0,0,0,0,0,0,<5,<5,0,0,0,0,<5,0,<5,<5,0,0,0,0,0,0,0,0
1765,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,<5,0,0,0,0,0,0,0,0
1790,0,0,10,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,12,0,0,0,0,0,0,0,0,0
1800,0,0,<5,0,0,0,0,0,<5,0,0,<5,<5,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1805,0,0,<5,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1811,0,0,<5,0,0,0,0,0,5,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1825,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,<5,0,0,0,<5,0,0,0,0,0
1835,0,0,<5,0,<5,0,<5,0,<5,<5,<5,0,0,<5,0,0,0,6,0,0,0,0,0,0,0,0,0
1860,0,0,<5,0,0,0,0,0,<5,0,0,0,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1871,0,0,<5,0,0,0,0,0,<5,<5,<5,<5,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1875,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,<5,0,0,<5,<5,<5,0,0,0,<5,<5,0,0,0,0,0,0,0,<5
1890,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0
2000,6,<5,410,19,83,<5,36,0,228,312,249,406,110,244,13,24,<5,771,170,<5,5,7,0,<5,0,8,70
2001,0,0,<5,0,0,0,0,0,6,<5,<5,9,6,<5,0,<5,0,11,0,0,0,0,0,0,0,0,<5
2004,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,<5,21
2007,22,6,212,34,51,0,24,0,95,143,107,257,147,102,<5,18,<5,399,29,0,7,<5,0,0,0,13,117
2008,8,<5,208,31,40,0,24,0,166,111,93,301,163,176,7,25,<5,507,17,<5,<5,<5,0,0,0,14,159
2009,<5,<5,432,9,107,0,54,0,170,281,240,263,61,153,17,45,0,787,156,<5,<5,6,0,0,0,8,31
2010,11,6,"1,377",62,173,<5,83,0,"1,284",259,210,876,200,925,12,37,0,"3,137",150,<5,10,19,0,0,0,43,120
2011,6,21,"1,039",41,147,<5,75,0,631,217,197,474,112,453,7,45,<5,"1,948",215,<5,<5,<5,0,0,0,19,62
2012,0,0,0,0,0,0,0,0,<5,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,8,<5,340,31,89,<5,37,0,131,216,189,252,83,151,<5,39,0,623,46,0,<5,<5,0,0,0,11,56
2016,7,6,"1,205",46,207,0,115,0,859,225,193,523,134,577,11,52,<5,"2,541",56,5,29,18,0,<5,<5,38,84
2017,13,24,"1,410",35,347,6,218,<5,943,640,585,737,162,695,34,130,<5,"3,101",39,<5,17,25,0,<5,<5,37,112
2018,<5,6,"1,604",17,383,12,157,0,445,800,602,674,146,359,60,67,<5,"2,469",163,<5,8,11,0,7,<5,22,102
2019,<5,<5,"1,025",9,204,8,76,0,223,486,379,316,55,171,10,61,0,"1,490",56,<5,<5,11,0,0,0,16,33
2020,<5,<5,"1,206",8,293,5,116,0,295,584,429,450,113,213,24,47,<5,"1,780",95,<5,<5,9,0,<5,<5,21,75
2021,0,<5,684,29,85,<5,18,0,169,150,124,240,77,145,<5,17,0,935,269,<5,0,5,0,<5,0,7,66
2022,<5,<5,756,18,122,<5,38,0,144,220,178,266,72,128,15,20,0,993,220,<5,<5,<5,0,0,0,14,42
2023,<5,10,260,6,69,<5,8,0,59,168,141,164,35,65,7,13,0,375,153,<5,0,<5,0,0,0,5,29
2024,0,<5,846,13,122,<5,33,0,156,231,189,222,51,89,10,16,<5,"1,086",191,0,<5,5,0,0,0,<5,39
2025,0,0,432,11,56,<5,16,0,63,103,88,94,28,40,<5,10,0,527,197,0,<5,<5,0,0,0,<5,18
2026,0,<5,"1,628",43,315,6,101,0,460,665,544,680,144,374,32,85,<5,"2,437",376,<5,<5,14,0,<5,0,21,105
2027,0,<5,355,5,53,0,13,0,57,100,77,94,25,50,<5,12,0,461,210,0,0,<5,0,0,0,0,18
2028,<5,0,215,6,27,0,7,0,29,60,50,55,19,31,<5,6,0,272,136,0,0,0,0,0,0,0,12
2029,<5,9,530,16,84,6,24,0,91,268,204,169,45,87,<5,35,0,714,230,<5,<5,<5,0,0,0,<5,41
2030,0,<5,476,11,129,<5,26,0,94,255,210,232,57,92,11,23,<5,664,306,<5,<5,<5,0,<5,0,7,46
2031,7,5,"2,095",29,366,9,97,0,381,734,618,713,227,278,19,80,<5,"2,754",556,5,11,12,0,<5,<5,15,169
2032,7,6,"1,384",22,268,6,97,0,383,411,316,487,200,201,17,60,0,"2,035",241,<5,7,10,0,<5,<5,23,190
2033,29,5,697,39,126,0,32,0,142,275,233,434,255,114,15,26,0,936,210,<5,<5,<5,0,0,<5,9,256
2034,5,5,"1,277",28,229,6,82,0,488,430,372,426,128,266,10,79,<5,"2,081",342,<5,<5,9,0,<5,<5,17,101
2035,10,22,"3,428",45,736,12,271,0,907,"1,175",913,"1,064",271,597,46,167,<5,"5,070",649,5,6,30,0,<5,<5,50,203
2036,14,32,"3,221",16,714,21,293,<5,"1,063","1,412","1,097","1,199",258,713,53,225,<5,"5,151",452,9,<5,24,0,<5,<5,63,129
2037,5,14,994,41,226,<5,139,0,689,397,352,672,254,449,9,82,0,"2,102",182,6,6,14,0,<5,0,30,212
2038,<5,<5,511,19,72,0,22,0,154,150,122,220,81,145,8,17,0,767,106,0,<5,<5,0,0,0,9,68
2039,0,<5,387,13,71,5,21,0,121,142,123,227,42,182,5,26,0,619,109,<5,0,<5,0,0,<5,5,23
2040,16,5,"1,696",55,323,13,105,<5,595,584,494,628,198,375,19,96,0,"2,688",187,6,<5,5,0,<5,0,30,147
2041,<5,0,833,16,120,<5,40,0,342,240,194,282,70,182,6,41,0,"1,336",346,<5,0,5,0,<5,0,<5,52
2042,6,5,846,114,161,5,57,0,429,356,301,761,346,425,32,37,<5,"1,541",91,<5,0,<5,0,<5,<5,28,312
2043,<5,0,273,19,39,<5,14,0,154,144,115,180,62,127,6,17,0,518,21,<5,<5,<5,0,<5,0,12,50
2044,<5,<5,649,31,175,<5,64,0,174,266,213,306,89,187,12,33,<5,"1,003",30,<5,<5,5,0,0,0,12,64
2045,0,<5,803,5,197,<5,47,0,106,148,109,143,49,56,<5,14,<5,993,164,<5,<5,0,0,<5,0,<5,35
2046,<5,0,"2,929",29,617,7,190,<5,490,787,584,627,169,276,22,87,<5,"3,861",487,<5,9,12,0,7,<5,21,111
2047,0,0,898,13,149,<5,33,0,118,222,191,216,56,114,6,19,0,"1,119",323,<5,0,7,0,<5,0,0,45
2048,<5,0,589,28,92,5,26,0,135,138,104,253,109,144,<5,10,0,820,96,<5,<5,<5,0,0,0,5,72
2049,9,6,845,42,161,<5,64,0,322,283,224,429,139,318,9,44,0,"1,419",97,<5,<5,<5,0,<5,<5,21,110
2050,6,<5,279,29,43,0,17,0,238,109,94,322,198,124,<5,13,0,597,30,<5,0,6,0,0,0,7,176
2052,7,<5,0,0,0,0,0,0,<5,0,0,31,31,<5,0,0,0,<5,0,0,0,0,0,0,0,<5,33
2055,0,0,<5,<5,0,0,0,0,<5,0,0,<5,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
2057,0,0,6,0,<5,0,<5,0,<5,<5,<5,6,<5,<5,<5,<5,0,11,<5,0,0,<5,0,0,0,0,<5
2059,0,<5,6,0,0,0,0,0,<5,<5,<5,<5,<5,<5,0,<5,0,8,0,0,0,0,0,0,0,0,0
2060,<5,<5,666,16,67,<5,14,0,119,164,146,190,61,106,6,17,0,850,322,<5,<5,<5,0,0,0,<5,54
2061,0,0,384,<5,31,<5,11,<5,128,39,33,70,20,54,<5,<5,0,540,165,0,<5,6,0,0,0,<5,27
2062,0,0,331,5,36,0,6,<5,63,142,116,88,16,42,<5,8,0,429,168,0,0,<5,0,0,0,0,19
2063,<5,<5,257,0,48,<5,12,0,38,79,57,71,21,24,<5,<5,0,315,226,<5,0,<5,0,0,0,<5,16
2064,0,0,479,9,85,<5,37,0,192,352,274,280,80,99,12,22,0,775,140,<5,<5,<5,0,0,0,8,50
2065,0,0,"1,216",20,211,5,48,<5,290,489,401,449,137,203,17,48,<5,"1,707",584,<5,8,10,0,<5,<5,12,113
2066,<5,19,"1,712",32,297,8,57,0,284,730,584,596,164,207,25,72,0,"2,231",685,<5,5,10,0,<5,0,14,125
2067,<5,0,"1,561",32,198,<5,56,<5,239,815,596,774,237,223,45,39,0,"2,037",601,6,43,22,0,<5,0,16,131
2068,<5,0,"1,002",7,195,8,52,0,150,363,263,323,86,131,8,21,<5,"1,307",443,<5,<5,6,0,<5,0,10,62
2069,0,<5,670,6,138,7,26,<5,94,257,185,243,77,53,9,18,0,826,425,0,<5,<5,0,0,0,<5,66
2070,<5,0,669,5,132,9,23,0,84,274,198,274,87,62,8,14,0,825,465,<5,<5,5,0,0,0,5,67
2071,0,0,557,11,119,5,21,0,73,321,234,296,95,54,7,8,<5,674,476,0,7,<5,0,<5,0,5,72
2072,0,<5,385,7,66,<5,12,0,50,234,143,203,59,51,7,7,<5,484,245,0,5,<5,0,0,0,<5,39
2073,<5,5,730,13,147,6,27,0,78,323,208,314,101,68,9,24,0,892,486,<5,<5,5,0,<5,0,<5,63
2074,0,0,"1,810",15,246,7,41,0,152,405,289,364,111,115,11,33,0,"2,089",976,0,<5,15,0,<5,0,<5,78
2075,<5,0,"1,411",10,210,12,28,0,122,522,385,425,92,73,19,30,0,"1,622",840,<5,<5,7,0,0,0,8,80
2076,<5,13,"1,819",23,274,14,40,0,322,561,401,535,158,160,13,44,<5,"2,330",796,<5,12,14,0,0,0,16,129
2077,<5,0,"2,886",53,445,29,138,0,751,"1,889","1,419","1,393",375,552,85,122,<5,"4,256",579,5,29,34,0,<5,0,39,182
2079,0,0,555,7,107,10,27,0,95,269,194,207,59,72,5,23,<5,750,90,0,0,5,0,<5,0,10,32
2080,<5,0,156,<5,29,0,6,0,28,62,41,50,18,17,<5,<5,0,203,29,0,0,<5,0,<5,0,<5,12
2081,0,0,448,9,84,<5,19,0,46,190,121,143,32,35,5,20,0,549,72,<5,0,<5,0,0,0,9,23
2082,<5,0,516,6,80,<5,15,0,65,218,143,133,29,46,5,19,0,649,73,<5,0,<5,0,0,<5,5,18
2083,0,0,220,<5,24,<5,11,0,50,58,42,54,14,33,6,6,0,304,39,<5,0,<5,0,0,0,<5,5
2084,0,0,267,<5,28,<5,<5,0,55,97,73,68,13,21,<5,10,0,346,132,0,0,<5,0,0,0,<5,8
2085,0,0,"1,445",6,195,9,33,0,109,236,148,210,53,62,<5,19,<5,"1,651",447,0,0,7,0,<5,0,<5,30
2086,0,0,"1,155",7,180,11,45,0,123,386,258,258,65,84,<5,32,0,"1,414",342,<5,<5,<5,0,<5,<5,<5,48
2087,0,<5,"1,298",6,172,7,35,0,157,330,215,296,86,80,7,33,0,"1,564",475,<5,<5,6,0,<5,<5,7,48
2088,<5,<5,"1,350",17,193,7,21,<5,173,394,331,376,101,150,<5,37,0,"1,650",862,<5,<5,6,0,0,0,5,69
2089,<5,0,551,8,63,0,13,<5,79,207,164,183,34,102,5,20,0,710,263,0,<5,7,0,0,0,6,33
2090,0,0,717,15,55,<5,12,0,96,192,152,139,36,72,<5,16,0,876,369,0,<5,<5,0,0,0,<5,22
2092,0,0,311,<5,84,<5,19,0,72,127,88,118,27,42,0,15,0,436,185,0,0,<5,0,0,0,7,21
2093,0,0,"1,333",20,205,7,50,0,219,607,479,455,103,170,16,54,<5,"1,770",524,<5,0,7,0,<5,0,14,61
2094,0,0,316,<5,33,<5,7,0,44,107,97,71,13,28,<5,8,0,395,189,0,0,<5,0,0,0,<5,14
2095,0,0,800,19,84,<5,17,0,244,238,188,222,70,154,6,24,0,"1,180",419,<5,0,<5,0,0,0,8,49
2096,0,<5,736,16,115,<5,27,0,159,387,310,217,41,98,9,44,0,"1,030",249,0,0,<5,0,<5,0,<5,28
2097,<5,<5,"1,251",17,177,8,34,0,150,483,349,312,66,118,10,67,0,"1,564",376,<5,<5,<5,0,0,<5,10,54
2099,5,<5,"3,637",33,548,17,182,0,789,"1,785","1,315","1,144",213,604,60,201,0,"5,139",654,7,<5,23,0,0,<5,43,128
2100,<5,5,"1,940",20,247,11,58,0,347,680,493,483,115,221,20,49,0,"2,517",425,<5,<5,7,0,<5,0,14,71
2101,0,<5,"1,980",13,220,12,43,0,243,673,522,365,68,170,13,73,0,"2,438",444,<5,0,5,0,0,<5,14,39
2102,0,0,644,6,85,6,22,0,55,273,214,157,38,45,5,30,0,780,135,<5,0,<5,0,0,<5,5,26
2103,0,0,"1,207",5,127,<5,24,0,114,330,243,215,49,67,10,33,<5,"1,416",407,<5,<5,<5,0,0,0,5,39
2104,0,0,611,<5,38,0,7,0,25,48,33,35,16,17,<5,6,0,657,231,0,0,<5,0,0,0,<5,6
2105,0,0,123,<5,14,0,<5,0,22,56,39,38,5,23,<5,<5,0,168,86,0,0,<5,0,0,0,<5,<5
2106,0,0,663,<5,101,5,27,0,90,343,269,179,33,94,6,48,0,887,245,0,<5,0,0,0,0,<5,29
2107,<5,<5,"1,163",11,133,<5,23,0,105,439,321,249,54,106,11,44,0,"1,393",489,<5,<5,<5,0,0,0,11,39
2108,0,0,111,<5,13,0,<5,0,19,38,26,27,8,13,<5,<5,0,145,78,<5,0,<5,0,0,0,<5,<5
2109,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2110,<5,19,758,8,101,<5,27,0,158,151,124,149,47,69,<5,12,0,"1,004",241,0,<5,<5,0,0,<5,<5,32
2111,<5,0,"1,336",11,201,8,56,0,295,412,301,333,80,171,15,33,<5,"1,849",328,<5,5,12,0,<5,0,9,52
